replicas_count,current_cpu_utilz,hpa_target
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,5,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
1,30,50
